ECG,RSP
-0.111847,6.0248
-0.177612,6.0104
-0.196838,5.9961
-0.230103,5.9821
-0.215759,5.9659
-0.16449,5.9521
-0.151672,5.9369
-0.214386,5.9204
-0.185089,5.9042
-0.145111,5.8893
-0.11673,5.8737
-0.100555,5.8594
-0.086975,5.845
-0.079803,5.8298
-0.06546,5.8154
-0.050659,5.8002
-0.045776,5.7864
-0.040588,5.7718
-0.035858,5.7568
-0.030823,5.7449
-0.033264,5.733
-0.028229,5.7181
-0.026398,5.7083
-0.023651,5.6964
-0.020905,5.6839
-0.018616,5.6741
-0.023651,5.6647
-0.023956,5.6503
-0.018616,5.64
-0.018616,5.6299
-0.014801,5.6195
-0.011292,5.6107
-0.003967,5.5991
-0.00885,5.5865
-0.008698,5.5768
-0.006409,5.5673
-0.002289,5.5573
-0.003967,5.5466
-0.006561,5.5374
-0.003815,5.5273
-0.000458,5.513
0.003357,5.5035
0.005798,5.4938
0.003204,5.4837
0.003357,5.4742
0.005646,5.4636
0.008392,5.4544
0.010681,5.4446
0.010681,5.4349
0.01297,5.4245
0.020599,5.4156
0.032196,5.4102
0.066681,5.4007
0.061798,5.3903
0.067596,5.3864
0.067749,5.3763
0.014648,5.3717
-0.01358,5.3619
-0.016479,5.3564
-0.009003,5.3491
-0.014038,5.3424
-0.019836,5.3375
-0.019836,5.3323
-0.011444,5.3278
-0.00885,5.3223
-0.003662,5.318
-0.001526,5.3131
-0.001221,5.3088
-0.007629,5.3079
-0.066223,5.3036
-0.053558,5.2985
0.163727,5.2985
0.798035,5.2933
1.00769,5.2939
0.217133,5.2884
-0.358124,5.2884
-0.451813,5.2881
-0.303345,5.2835
-0.153656,5.2838
-0.100555,5.2841
-0.077667,5.2835
-0.059204,5.2786
-0.045624,5.2783
-0.033264,5.2789
-0.022125,5.2786
-0.009003,5.2786
0.003357,5.2786
0.01297,5.2835
0.022736,5.2838
0.034943,5.2835
0.044861,5.2832
0.055847,5.2835
0.070496,5.2835
0.08728,5.2838
0.105133,5.2835
0.125275,5.2841
0.143585,5.2838
0.159149,5.278
0.16922,5.2789
0.169067,5.2734
0.146027,5.2689
0.085449,5.2637
0.002594,5.2594
-0.080719,5.2493
-0.144501,5.2441
-0.183716,5.2347
-0.204315,5.2295
-0.207062,5.22
-0.199738,5.2109
-0.184937,5.2048
-0.168457,5.1959
-0.151215,5.1852
-0.13382,5.1782
-0.120239,5.1709
-0.106964,5.1614
-0.091248,5.1569
-0.078735,5.1468
-0.067444,5.1419
-0.057983,5.1321
-0.052795,5.1279
-0.046082,5.1221
-0.0383,5.1151
-0.033417,5.1083
-0.028534,5.1028
-0.028534,5.0983
-0.028839,5.0958
-0.026093,5.0931
-0.021515,5.0876
-0.018768,5.0839
-0.018921,5.0836
-0.016174,5.079
-0.013733,5.0787
-0.011597,5.0745
-0.009155,5.0748
-0.006866,5.0745
-0.006561,5.0696
-0.001984,5.0693
0.000458,5.0699
0.00351,5.0696
0.005798,5.0693
0.005646,5.0696
0.007782,5.0693
-0.001068,5.0742
0.003357,5.0742
0.003204,5.0748
0.00946,5.079
0.013275,5.079
0.008545,5.0836
0.005493,5.0836
0.010681,5.0879
0.010681,5.0885
0.011902,5.0931
0.01297,5.098
0.018158,5.098
0.031281,5.1028
0.060272,5.1077
0.056458,5.1114
0.059052,5.1126
0.058136,5.1172
0.012054,5.1233
-0.011292,5.1273
-0.011597,5.1279
-0.00412,5.1324
-0.011597,5.137
-0.020905,5.1416
-0.021057,5.1465
-0.016174,5.1471
-0.016174,5.1514
-0.011444,5.1562
-0.006409,5.1614
-0.009003,5.1666
-0.019989,5.1669
-0.081482,5.1715
-0.057068,5.1761
0.202332,5.1807
0.919189,5.1859
0.895081,5.191
0.126343,5.1953
-0.377045,5.2008
-0.450745,5.2054
-0.306091,5.2103
-0.160828,5.2155
-0.104675,5.2231
-0.077515,5.2301
-0.057983,5.235
-0.044403,5.2396
-0.031128,5.2451
-0.023499,5.2496
-0.018616,5.2585
-0.004883,5.264
0.005493,5.2689
0.015259,5.2786
0.022736,5.2832
0.031586,5.2933
0.040894,5.2979
0.052948,5.3082
0.070343,5.3131
0.089569,5.3229
0.1091,5.3278
0.127411,5.3372
0.142212,5.3418
0.154572,5.3525
0.154877,5.3574
0.131683,5.3668
0.075073,5.3717
0.000153,5.3799
-0.070953,5.3864
-0.132294,5.3952
-0.167999,5.4001
-0.182648,5.4108
-0.180511,5.4175
-0.172729,5.4248
-0.161896,5.4352
-0.147247,5.4446
-0.1297,5.455
-0.114441,5.4642
-0.102844,5.4742
-0.088501,5.4837
